num_records,1000_records,10000_records,100000_records
1,0.0004155374004767,0.0006653790998825,0.0022689249002723955
2,0.0002781916000458,0.0003500540999084,0.0006027998997524264
3,0.000263824900503,0.0003107044003627,0.0005520665999938501
4,0.0002839333999872,0.0002637624998897,0.0005471042000863236
5,0.0002565000999311,0.0002645207001478,0.0005332082000677474
6,0.0002580751002824,0.0002615957999296,0.0005151126002601814
7,0.0002431501003229,0.0002706917000978,0.00048407499998575075
8,0.0002749290999418,0.000251212600051,0.0004995667999537545
9,0.0002535542998884,0.0002442040997266,0.00048681689968361753
10,0.0002529749001041,0.0002475124003467,0.0004900666001049104
11,0.0002380374997301,0.0002369540996369,0.000504020999869681
12,0.0002359167003305,0.0002371125994613,0.0005588336003711447
13,0.000225266700545,0.0002505708998796,0.000531670700001996
14,0.0002313791997949,0.0002333167001779,0.00050411259962857
15,0.0002374207004322,0.0002525414996853,0.00048607509979774476
16,0.0002413165999314,0.0002514539000912,0.0004917251000733814
17,0.0002281667002534,0.0002430709000691,0.0005148917000042275
18,0.0002280168000652,0.0002536583999244,0.0005043041999670094
19,0.0002873584002372,0.0002325415996892,0.00050425820008968
20,0.0002445919997626,0.0002495000002454,0.0004989165003280504
21,0.0002274543001476,0.0002758793003522,0.0004984582998076803
22,0.0002225249998446,0.000251879300049,0.0005034125000747735
23,0.0002261833999,0.0002634709000631,0.0004895794001640752
24,0.00023068329956,0.0002505750000636,0.0004942125995512469
25,0.0002384169001743,0.0002523124998333,0.000500104299862869
26,0.0002415083999949,0.0002494290001777,0.0005027916002291021
27,0.0002374625999436,0.0002473750004355,0.0004997499003366101
28,0.000255520599785,0.0002606292004202,0.00047959980020095827
29,0.0002550501001678,0.0002922667001257,0.000483450100182381
30,0.0002469333001499,0.0002663209999809,0.0004981082000085734
31,0.0002519790001315,0.0002488833997631,0.0004857539999647997
32,0.0002471665999109,0.0002516875001674,0.00047750419998919823
33,0.000242312300179,0.0002578460995209,0.0004524459000094794
34,0.000243508299718,0.0002583374996902,0.0004302377001295099
35,0.0002417249997961,0.0002446961001624,0.0004270167999493424
36,0.0002350832997763,0.0002483000000211,0.00044835009994130813
37,0.0002346208000744,0.0002558500998929,0.0004603622997819912
38,0.0002395459003309,0.000252541699956,0.0004257331998815062
39,0.0002343123001992,0.0002620249997562,0.0004457916998944711
40,0.000236295799732,0.0002519084000596,0.00046522929987986573
41,0.0002320331999726,0.0002807666998705,0.00043696669999917506
42,0.0002340835002542,0.0002543458000218,0.0007680666998567176
43,0.0002431998998872,0.0002399623996097,0.0004508583999268012
